11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,12,12,8,12,12,12,12,12,12,13,13,13,11
11,12,3,4,5,12,12,12,12,12,12,12,12,11
11,12,12,12,12,12,12,12,12,12,12,12,12,10
11,0,0,0,0,0,0,12,12,12,12,7,6,11
11,1,1,1,1,1,1,12,12,12,12,7,6,11
11,0,0,0,0,0,0,12,12,12,12,7,6,11
11,1,1,1,1,1,1,12,12,12,12,7,6,11
11,0,0,0,0,0,0,12,12,12,12,7,6,11
11,1,1,1,1,1,1,12,12,12,12,7,6,11
11,0,0,0,0,0,0,12,12,12,12,7,6,11
11,1,1,1,1,1,1,12,12,12,12,7,6,11
11,12,12,12,12,12,12,12,12,12,12,7,6,11
11,8,8,8,8,8,8,8,8,12,12,12,12,11
11,9,9,9,9,9,9,9,9,12,12,12,12,11
11,11,11,11,11,11,11,11,11,11,2,11,11,11
