12,12,12,12,12,12,12,12,3,12,12,12
12,15,9,15,15,15,0,0,15,15,15,12
12,15,15,15,15,15,15,15,15,15,15,12
12,0,7,15,15,15,15,15,15,15,15,2
12,6,0,0,15,15,15,15,15,15,15,12
12,10,0,0,15,15,15,15,0,0,10,12
12,1,4,4,15,15,15,15,4,4,1,12
12,10,0,0,15,15,15,15,0,0,10,12
12,1,4,4,15,15,15,15,4,4,1,12
12,10,0,0,15,15,15,15,0,0,10,12
12,1,4,4,15,15,15,15,4,4,1,12
12,10,0,0,15,15,15,15,0,0,10,12
12,1,4,4,15,15,15,15,4,4,1,12
12,10,0,0,15,15,15,15,0,0,10,12
12,1,4,4,15,15,15,15,4,4,1,12
12,15,15,15,15,15,15,15,15,15,15,12
12,4,4,4,4,5,5,4,4,0,0,12
12,12,12,12,12,12,12,12,12,12,12,12
